Year,Type,Department,Description,Amount
2022,Expenditure,PS - BUREAU OF ANIMAL CARE AND CONTROL,INDEMNITY - W/C,10.721
2022,Expenditure,CITY PLANNING,ADMINISTRATIVE FEES,10.75
2022,Expenditure,OFFICE OF EQUITY,WORKFORCE TRAINING,10.763
2022,Expenditure,PS - EMERGENCY MED SERVICES,COMPUTER MAINTANACE,11
2022,Expenditure,PARKS AND RECREATION,INDEMNITY - W/C,11.14
2022,Expenditure,CITY COUNCIL,INDEMNITY - W/C,11.755
2022,Expenditure,PARKS AND RECREATION,MEDICAL - W/C,11.907
2022,Expenditure,CITY CONTROLLER,PRINTING & BINDING,12
2022,Expenditure,PS - EMERGENCY MED SERVICES,PROMOTIONAL,12
2022,Expenditure,PS - FIRE BUREAU,PERSONAL LEAVE BUYBACK,12
2022,Expenditure,PW - BUREAU OF ADMINISTRATION,WORKFORCE TRAINING,12
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,WORKFORCE TRAINING,12
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,OFFICE SUPPLIES,12
2022,Expenditure,CIVILIAN REVIEW BOARD,PERSONAL LEAVE BUYBACK,12
2022,Expenditure,CITY PLANNING,OPERATIONAL SUPPLIES,12.05
2022,Expenditure,PS - EMERGENCY MED SERVICES,WORKERS COMP - FEES,12.534
2022,Expenditure,MAYOR'S OFFICE,OPERATIONAL SUPPLIES,12.8
2022,Expenditure,OFFICE OF MUNICIPAL INVESTIGATIONS,PERSONAL LEAVE BUYBACK,13
2022,Expenditure,CIVILIAN REVIEW BOARD,OPERATIONAL SUPPLIES,13.12
2022,Expenditure,OFFICE OF EQUITY,OTHER INSUR/BENEFITS,13.43538
2022,Expenditure,MAYOR'S OFFICE,WORKFORCE TRAINING,15
2022,Expenditure,OFFICE OF EQUITY,TUITION REIMBURSEMENT,15
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,TUITION REIMBURSEMENT,15
2022,Expenditure,INNOVATION & PERFORMANCE,TUITION REIMBURSEMENT,15
2022,Expenditure,INNOVATION & PERFORMANCE,REPAIRS,15
2022,Expenditure,CITY CONTROLLER,TUITION REIMBURSEMENT,15
2022,Expenditure,FINANCE,RETIRED FIREFIGHTERS,15
2022,Expenditure,FINANCE,OFFICE SUPPLIES,15
2022,Expenditure,CITY PLANNING,OFFICE SUPPLIES,15
2022,Expenditure,PS - EMERGENCY MED SERVICES,TOOLS,15
2022,Expenditure,OFFICE OF MUNICIPAL INVESTIGATIONS,WORKFORCE TRAINING,15
2022,Expenditure,PW - BUREAU OF FACILITIES,MCHINERY & EQUIPMENTS,15
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,TRANSPORTATION,15
2022,Expenditure,PW - BUREAU OF ADMINISTRATION,OFFICE SUPPLIES,15.344
2022,Expenditure,CITY PLANNING,RECORDING / FILLING FEES,15.5
2022,Expenditure,CITY CLERK,PROFESSIONAL SERVICES - CONVER,15.6
2022,Expenditure,CITY CONTROLLER,MACHINERY AND EQUIPMENT,15.819
2022,Expenditure,PERMITS LICENSES AND INSPECTIONS,RECORDING / FILLING FEES,16
2022,Expenditure,FINANCE,OPERATIONAL SUPPLIES,16.8
2022,Expenditure,PARKS AND RECREATION,MCHINERY & EQUIPMENTS,17
2022,Expenditure,PS - FIRE BUREAU,REPAIRS,18
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,PRINTING & BINDING,18
2022,Expenditure,PARKS AND RECREATION,REPAIRS,18
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,OFFICE SUPPLIES,18
2022,Expenditure,PERMITS LICENSES AND INSPECTIONS,MEDICAL - W/C,18.45
2022,Expenditure,CITY CLERK,AUDITING & ACCOUNTING SERVICE,18.5
2022,Expenditure,CITY CLERK,OFFICE SUPPLIES,18.5
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,WORKERS COMP - FEES,18.774
2022,Expenditure,PS - BUREAU OF ANIMAL CARE AND CONTROL,OTHER INSUR/BENEFITS,18.82965
2022,Expenditure,OFFICE OF EQUITY,COMPUTER MAINTANACE,18.937
2022,Expenditure,CITY CLERK,FURNITURE AND FIXTURES,19
2022,Expenditure,PS - EMERGENCY MED SERVICES,PARTS,19.5
2022,Expenditure,INNOVATION & PERFORMANCE,OFFICE SUPPLIES,20
2022,Expenditure,CITY CONTROLLER,WORKFORCE TRAINING,20
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,WORKFORCE TRAINING,20
2022,Expenditure,CITY PLANNING,GRANTS,20
2022,Expenditure,PERMITS LICENSES AND INSPECTIONS,OFFICE SUPPLIES,20
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,RECREATIONAL SERVICES,20
2022,Expenditure,PS - EMERGENCY MED SERVICES,OFFICE SUPPLIES,20
2022,Expenditure,PS - BUREAU OF ANIMAL CARE AND CONTROL,MACHINERY AND EQUIPMENT,20
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,WORKFORCE TRAINING,20
2022,Expenditure,PS - FIRE BUREAU,LAND & BUILDINGS,20.1
2022,Expenditure,OFFICE OF COMMUNITY HEALTH AND SAFETY,OPERATIONAL SUPPLIES,21
2022,Expenditure,FINANCE,PROFESSIONAL SERVICES - CONVER,21
2022,Expenditure,PERMITS LICENSES AND INSPECTIONS,TUITION REIMBURSEMENT,21
2022,Expenditure,MAYOR'S OFFICE,OTHER INSUR/BENEFITS,21.44724
2022,Expenditure,PW - BUREAU OF ADMINISTRATION,OTHER INSUR/BENEFITS,22.3727
2022,Expenditure,CITY CLERK,PERSONAL LEAVE BUYBACK,23
2022,Expenditure,PW - BUREAU OF ADMINISTRATION,PERSONAL LEAVE BUYBACK,23
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,LAND & BUILDINGS,23.3
2022,Expenditure,CITY PLANNING,WORKFORCE TRAINING,23.5
2022,Expenditure,CITY CLERK,OTHER INSUR/BENEFITS,24.52783
2022,Expenditure,LAW,WORKFORCE TRAINING,24.575
2022,Expenditure,FINANCE,PREMIUM PAY,24.62268
2022,Expenditure,CITY CLERK,CONSTRUCTION,25
2022,Expenditure,FINANCE,PROMOTIONAL,25
2022,Expenditure,PS - FIRE BUREAU,PARTS,25
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,CONSTRUCTION,25
2022,Expenditure,PW - BUREAU OF FACILITIES,WORKFORCE TRAINING,25
2022,Expenditure,PARKS AND RECREATION,OFFICE SUPPLIES,25
2022,Expenditure,PARKS AND RECREATION,MATERIALS,25
2022,Expenditure,FINANCE,COURT RELATED FEES,25.7
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,WORKFORCE TRAINING,25.75
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,MCHINERY & EQUIPMENTS,26
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,OFFICE SUPPLIES,27
2022,Expenditure,LAW,RECORDING / FILLING FEES,28
2022,Expenditure,PARKS AND RECREATION,ALLOWANCES,28.5
2022,Expenditure,OFFICE OF EQUITY,ADMINISTRATIVE FEES,28.825
2022,Expenditure,OFFICE OF COMMUNITY HEALTH AND SAFETY,PROFESSIONAL SERVICES - CONVER,30
2022,Expenditure,FINANCE,REFUNDS,30
2022,Expenditure,PS - POLICE BUREAU,PROMOTIONAL,30
2022,Expenditure,PS - FIRE BUREAU,WORKFORCE TRAINING,30
2022,Expenditure,PS - BUREAU OF ANIMAL CARE AND CONTROL,OPERATIONAL SUPPLIES,30
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,PROFESSIONAL SERVICES - CONVER,30
2022,Expenditure,HUMAN RELATIONS COMM.,SOCIAL SECURITY,30.35624
2022,Expenditure,PS - EMERGENCY MED SERVICES,MCHINERY & EQUIPMENTS,31.5
2022,Expenditure,HUMAN RELATIONS COMM.,PROFESSIONAL SERVICES - CONVER,32.15
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,INDEMNITY - W/C,32.357
2022,Expenditure,PS - POLICE BUREAU,TELEPHONE,32.5
2022,Expenditure,OFFICE OF IMMIGRANT AND REFUGEE AFFAIRS,HEALTH INSURANCE,32.82408
2022,Expenditure,CITY COUNCIL,PERSONAL LEAVE BUYBACK,34
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,ADMINISTRATIVE FEES,34
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,OTHER INSUR/BENEFITS,34.33304
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,MAINTENANCE - MISC,34.824
2022,Expenditure,CITY PLANNING,TUITION REIMBURSEMENT,35
2022,Expenditure,CITY COUNCIL,OTHER INSUR/BENEFITS,35.05135
2022,Expenditure,PARKS AND RECREATION,PROFESSIONAL SERVICES - CONVER,35.7
2022,Expenditure,MAYOR'S OFFICE,PERSONAL LEAVE BUYBACK,37
2022,Expenditure,OFFICE OF MUNICIPAL INVESTIGATIONS,PROTECTIVE / INVESTIGATION,37.5
2022,Expenditure,INNOVATION & PERFORMANCE,PREMIUM PAY,37.96252
2022,Expenditure,PS - EMERGENCY MED SERVICES,TUITION REIMBURSEMENT,38
2022,Expenditure,PS - POLICE BUREAU,CLEANING,38.5
2022,Expenditure,CIVILIAN REVIEW BOARD,SOCIAL SECURITY,38.95027
2022,Expenditure,OFFICE OF MUNICIPAL INVESTIGATIONS,SOCIAL SECURITY,39.03957
2022,Expenditure,CITY COUNCIL,POSTAGE,39.99996
2022,Expenditure,FINANCE,GRANTS,40
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,OFFICE SUPPLIES,40
2022,Expenditure,OFFICE OF EQUITY,PERSONAL LEAVE BUYBACK,41
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,INDEMNITY - W/C,41.112
2022,Expenditure,PW - BUREAU OF FACILITIES,SEWER,42.419
2022,Expenditure,FINANCE,PERSONAL LEAVE BUYBACK,43
2022,Expenditure,CITY PLANNING,COMPUTER MAINTANACE,43.7
2022,Expenditure,PARKS AND RECREATION,OTHER INSUR/BENEFITS,44.07827
2022,Expenditure,FINANCE,SURVIVOR CONTRIBUTION,45
2022,Expenditure,ETHICS BOARD,LEGAL FEES,45
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,TOOLS,45
2022,Expenditure,LAW,COMPUTER MAINTANACE,45.146
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,WORKERS COMP - FEES,45.182
2022,Expenditure,LAW,OPERATIONAL SUPPLIES,45.42
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,MACHINERY AND EQUIPMENT,46.5
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,CLEANING,48
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,RECREATIONAL SERVICES,48.6
2022,Expenditure,FINANCE,OTHER INSUR/BENEFITS,48.77753
2022,Expenditure,CITY CLERK,LEGAL FEES,50
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,PROMOTIONAL,50
2022,Expenditure,PS - POLICE BUREAU,WORKFORCE TRAINING,50
2022,Expenditure,PS - POLICE BUREAU,PROFESSIONAL SERVICES - CONVER,50
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,AUDITING & ACCOUNTING SERVICE,50
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,ENGINEERING,50
2022,Expenditure,CIVILIAN REVIEW BOARD,LEGAL FEES,50
2022,Expenditure,INNOVATION & PERFORMANCE,OPERATIONAL SUPPLIES,52.5
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,MEDICAL - W/C,52.55
2022,Expenditure,FINANCE,MAINTENANCE - MISC,52.605
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,TRANSPORTATION,53.2
2022,Expenditure,LAW,OTHER INSUR/BENEFITS,54.07233
2022,Expenditure,CITY CONTROLLER,PROFESSIONAL SERVICES - CONVER,55
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,PROFESSIONAL SERVICES - CONVER,57
2022,Expenditure,PS - POLICE BUREAU,WORKERS COMP - FEES,58.999
2022,Expenditure,OFFICE OF EQUITY,SOCIAL SECURITY,59.46525
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,PERSONAL LEAVE BUYBACK,60
2022,Expenditure,FINANCE,REGULATORY,60
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,PREMIUM PAY,60
2022,Expenditure,PS - BUREAU OF ANIMAL CARE AND CONTROL,COMPUTER MAINTANACE,60
2022,Expenditure,CITY PLANNING,OTHER INSUR/BENEFITS,60.4713
2022,Expenditure,LAW,PERSONAL LEAVE BUYBACK,64
2022,Expenditure,PS - EMERGENCY MED SERVICES,REPAIRS,65.1
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,PERSONAL LEAVE BUYBACK,67
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,LONGEVITY,67.25
2022,Expenditure,CIVILIAN REVIEW BOARD,LAND & BUILDINGS,69.488
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,WORKFORCE TRAINING,70
2022,Expenditure,PS - FIRE BUREAU,OFFICE SUPPLIES,70
2022,Expenditure,PS - BUREAU OF ANIMAL CARE AND CONTROL,PREVENTION,70
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,BUILDING - SYSTEMS,70
2022,Expenditure,PS - BUREAU OF ANIMAL CARE AND CONTROL,SOCIAL SECURITY,70.59458
2022,Expenditure,CIVILIAN REVIEW BOARD,HEALTH INSURANCE,73.85448
2022,Expenditure,INNOVATION & PERFORMANCE,WORKFORCE TRAINING,75
2022,Expenditure,CITY CONTROLLER,AUDITING & ACCOUNTING SERVICE,75
2022,Expenditure,PS - POLICE BUREAU,TOWING SERVICES,75
2022,Expenditure,HUMAN RELATIONS COMM.,HEALTH INSURANCE,75.01062
2022,Expenditure,CITY CONTROLLER,OTHER INSUR/BENEFITS,76.95363
2022,Expenditure,CITY PLANNING,PERSONAL LEAVE BUYBACK,78
2022,Expenditure,FINANCE,WIDOW(ER) CONTRIBUTION,80
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,WORKER COMP - SETTLEMENT,80
2022,Expenditure,PARKS AND RECREATION,RECREATIONAL SERVICES,80
2022,Expenditure,PERMITS LICENSES AND INSPECTIONS,PERSONAL LEAVE BUYBACK,85
2022,Expenditure,PW - BUREAU OF ADMINISTRATION,SOCIAL SECURITY,87.21527
2022,Expenditure,MAYOR'S OFFICE,SOCIAL SECURITY,89.54831
2022,Expenditure,OFFICE OF MUNICIPAL INVESTIGATIONS,HEALTH INSURANCE,89.84376
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,EMPLOYMENT RELATED,90
2022,Expenditure,OFFICE OF EQUITY,HEALTH INSURANCE,90.2664
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,OPERATIONAL SUPPLIES,93.5
2022,Expenditure,FINANCE,PRINTING & BINDING,95
2022,Expenditure,PERMITS LICENSES AND INSPECTIONS,WORKFORCE TRAINING,96
2022,Expenditure,PARKS AND RECREATION,PERSONAL LEAVE BUYBACK,97
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,PERSONAL LEAVE BUYBACK,99
2022,Expenditure,CITY CONTROLLER,PERSONAL LEAVE BUYBACK,100
2022,Expenditure,PS - EMERGENCY MED SERVICES,LEAVE BUYBACK,100
2022,Expenditure,PS - POLICE BUREAU,PROTECTIVE / INVESTIGATION,100
2022,Expenditure,PS - POLICE BUREAU,OFFICE SUPPLIES,100
2022,Expenditure,PS - BUREAU OF ANIMAL CARE AND CONTROL,CLEANING,100
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,TOOLS,100
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,MACHINERY AND EQUIPMENT,100
2022,Expenditure,PW - BUREAU OF FACILITIES,OPERATIONAL SUPPLIES,100
2022,Expenditure,CITY CLERK,SOCIAL SECURITY,100.22421
2022,Expenditure,INNOVATION & PERFORMANCE,OTHER INSUR/BENEFITS,100.83261
2022,Expenditure,ETHICS BOARD,REGULAR,100.88038
2022,Expenditure,PW - BUREAU OF FACILITIES,PERSONAL LEAVE BUYBACK,101
2022,Expenditure,CITY PLANNING,PROFESSIONAL SERVICES - CONVER,102
2022,Expenditure,PW - BUREAU OF FACILITIES,PARTS,105
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,OTHER INSUR/BENEFITS,108.28161
2022,Expenditure,PS - FIRE BUREAU,COMPUTER MAINTANACE,110.388
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,OPERATIONAL SUPPLIES,111
2022,Expenditure,PS - BUREAU OF ANIMAL CARE AND CONTROL,PREMIUM PAY,115
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,PERSONAL LEAVE BUYBACK,117
2022,Expenditure,PW - BUREAU OF FACILITIES,OTHER INSUR/BENEFITS,119.52339
2022,Expenditure,MAYOR'S OFFICE,HEALTH INSURANCE,123.09048
2022,Expenditure,PS - EMERGENCY MED SERVICES,MEDICAL - W/C,123.633
2022,Expenditure,LAW,PROFESSIONAL SERVICES - CONVER,125
2022,Expenditure,PS - POLICE BUREAU,COMPUTER MAINTANACE,125
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,MCHINERY & EQUIPMENTS,126
2022,Expenditure,PARKS AND RECREATION,PREMIUM PAY,126.59083
2022,Expenditure,CITY CLERK,COMPUTER MAINTANACE,127.734
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,OPERATIONAL SUPPLIES,127.85
2022,Expenditure,INNOVATION & PERFORMANCE,PERSONAL LEAVE BUYBACK,130
2022,Expenditure,PS - BUREAU OF ANIMAL CARE AND CONTROL,HEALTH INSURANCE,130.13412
2022,Expenditure,OFFICE OF IMMIGRANT AND REFUGEE AFFAIRS,REGULAR,131.4223
2022,Expenditure,CITY CLERK,ADMINISTRATIVE FEES,132
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,PERSONAL LEAVE BUYBACK,132
2022,Expenditure,PS - FIRE BUREAU,WORKERS COMP - FEES,132.309
2022,Expenditure,PERMITS LICENSES AND INSPECTIONS,OTHER INSUR/BENEFITS,133.5488
2022,Expenditure,PS - FIRE BUREAU,MATERIALS,134
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,OTHER INSUR/BENEFITS,137.9999
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,PREMIUM PAY,138.79266
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,MAINTENANCE,140
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,SOCIAL SECURITY,141.22393
2022,Expenditure,PW - BUREAU OF FACILITIES,PREMIUM PAY,144.89402
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,MAINTENANCE,145
2022,Expenditure,PERMITS LICENSES AND INSPECTIONS,OPERATIONAL SUPPLIES,147.177
2022,Expenditure,PW - BUREAU OF FACILITIES,DEMOLITION,150
2022,Expenditure,INNOVATION & PERFORMANCE,AUDITING & ACCOUNTING SERVICE,152.3
2022,Expenditure,PS - POLICE BUREAU,MAINTENANCE - MISC,160.2
2022,Expenditure,PERMITS LICENSES AND INSPECTIONS,PREMIUM PAY,167.33799
2022,Expenditure,PS - FIRE BUREAU,PROFESSIONAL SERVICES - CONVER,168.857
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,COMPUTER MAINTANACE,171.431
2022,Expenditure,LAW,COURT RELATED FEES,175
2022,Expenditure,PW - BUREAU OF ADMINISTRATION,HEALTH INSURANCE,180.03468
2022,Expenditure,CITY CLERK,HEALTH INSURANCE,180.1104
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,SOCIAL SECURITY,181.15756
2022,Expenditure,FINANCE,SOCIAL SECURITY,182.90932
2022,Expenditure,CITY COUNCIL,SOCIAL SECURITY,185.36653
2022,Expenditure,PS - EMERGENCY MED SERVICES,MACHINERY AND EQUIPMENT,189.5
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,PERSONAL LEAVE BUYBACK,193
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,PROFESSIONAL SERVICES - CONVER,194.812
2022,Expenditure,FINANCE,AUDITING & ACCOUNTING SERVICE,195.501
2022,Expenditure,PS - POLICE BUREAU,ANIMAL SERVICES,196.3
2022,Expenditure,PW - BUREAU OF FACILITIES,FURNITURE AND FIXTURES,199.3
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,OTHER INSUR/BENEFITS,205.40371
2022,Expenditure,PERMITS LICENSES AND INSPECTIONS,PROFESSIONAL SERVICES - CONVER,208.6
2022,Expenditure,LAW,SOCIAL SECURITY,215.71957
2022,Expenditure,INNOVATION & PERFORMANCE,PROFESSIONAL SERVICES - CONVER,225
2022,Expenditure,PARKS AND RECREATION,GRANTS,225
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,OPERATIONAL SUPPLIES,225.8
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,GRANTS,229
2022,Expenditure,CITY PLANNING,SOCIAL SECURITY,229.46041
2022,Expenditure,PERMITS LICENSES AND INSPECTIONS,COMPUTER MAINTANACE,230
2022,Expenditure,PS - FIRE BUREAU,MACHINERY AND EQUIPMENT,232.723
2022,Expenditure,PS - EMERGENCY MED SERVICES,PERSONAL LEAVE BUYBACK,238
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,COMPUTER MAINTANACE,244.70225
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,HEALTH INSURANCE,245.33592
2022,Expenditure,FINANCE,RETIRED POLICE OFFICER,250
2022,Expenditure,PS - EMERGENCY MED SERVICES,UNIFORM,253.2
2022,Expenditure,OFFICE OF EQUITY,PROFESSIONAL SERVICES - CONVER,255.95
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,PROFESSIONAL SERVICES - CONVER,257.7
2022,Expenditure,PS - FIRE BUREAU,OTHER INSUR/BENEFITS,261.10504
2022,Expenditure,PS - FIRE BUREAU,ALLOWANCES,262.7
2022,Expenditure,CITY COUNCIL,HEALTH INSURANCE,270.79896
2022,Expenditure,PARKS AND RECREATION,SOCIAL SECURITY,274.51077
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,COMPUTER MAINTANACE,276.101
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,OTHER INSUR/BENEFITS,278.17345
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,PARTS,285
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,OPERATIONAL SUPPLIES,288
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,MEDICAL AND DENTAL FEES,300
2022,Expenditure,PW - BUREAU OF FACILITIES,BUILDING - SYSTEMS,300
2022,Expenditure,CITY CONTROLLER,SOCIAL SECURITY,303.70282
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,UNEMPLOYMENT COMP,305.2
2022,Expenditure,FINANCE,LEGAL FEES,307.5
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,INDEMNITY - W/C,307.937
2022,Expenditure,PS - POLICE BUREAU,PERSONAL LEAVE BUYBACK,312
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,MATERIALS,316
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,MEDICAL - W/C,316.137
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,OTHER INSUR/BENEFITS,321.78023
2022,Expenditure,PS - EMERGENCY MED SERVICES,OTHER INSUR/BENEFITS,335.33996
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,PAYROLL PROCESSING,352
2022,Expenditure,PS - BUREAU OF ANIMAL CARE AND CONTROL,ANIMAL SERVICES,354.007
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,ADMINISTRATIVE FEES,374.033
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,SOCIAL SECURITY,380.4939
2022,Expenditure,HUMAN RELATIONS COMM.,REGULAR,389.81364
2022,Expenditure,FINANCE,HEALTH INSURANCE,400.54592
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,PROFESSIONAL SERVICES - CONVER,403
2022,Expenditure,INNOVATION & PERFORMANCE,SOCIAL SECURITY,404.0008
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,LAND & BUILDINGS,406.90523
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,ROLL OFF BOXES,418.765
2022,Expenditure,PS - POLICE BUREAU,LEAVE BUYBACK,420
2022,Expenditure,PARKS AND RECREATION,HEALTH INSURANCE,420.49812
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,INDEMNITY - W/C,428.099
2022,Expenditure,PW - BUREAU OF FACILITIES,SOCIAL SECURITY,430.39678
2022,Expenditure,PARKS AND RECREATION,OPERATIONAL SUPPLIES,431
2022,Expenditure,PS - ADMIN AND SUPPORT SERVICES,LAND & BUILDINGS,434.674
2022,Expenditure,FINANCE,POSTAGE,435.5
2022,Expenditure,LAW,HEALTH INSURANCE,453.92328
2022,Expenditure,PERMITS LICENSES AND INSPECTIONS,SOCIAL SECURITY,477.82376
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,MEDICAL - W/C,491.726
2022,Expenditure,CITY PLANNING,HEALTH INSURANCE,492.2388
2022,Expenditure,OFFICE OF MUNICIPAL INVESTIGATIONS,REGULAR,496.72085
2022,Expenditure,CIVILIAN REVIEW BOARD,REGULAR,497.1539
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,MATERIALS,517.823
2022,Expenditure,MOBILITY AND INFRASTRUCTURE,SOCIAL SECURITY,519.57953
2022,Expenditure,FINANCE,COMPUTER MAINTANACE,555.541
2022,Expenditure,OFFICE OF MANAGEMENT AND BUDGET,INSURANCE PREMIUMS,593.65301
2022,Expenditure,CITY CONTROLLER,HEALTH INSURANCE,613.76232
2022,Expenditure,PS - EMERGENCY MED SERVICES,LONGEVITY,622
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,LANDSCAPING,664.495
2022,Expenditure,PS - EMERGENCY MED SERVICES,INDEMNITY - W/C,669.848
2022,Expenditure,PS - FIRE BUREAU,UNIFORM,675.954
2022,Expenditure,PW - BUREAU OF FACILITIES,NATURAL GAS,698.715
2022,Expenditure,OFFICE OF EQUITY,REGULAR,716.37612
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,SOCIAL SECURITY,719.36017
2022,Expenditure,PS - POLICE BUREAU,OTHER INSUR/BENEFITS,732.38391
2022,Expenditure,PW - BUREAU OF FACILITIES,STEAM,755.252
2022,Expenditure,PS - BUREAU OF ANIMAL CARE AND CONTROL,REGULAR,767.63881
2022,Expenditure,INNOVATION & PERFORMANCE,HEALTH INSURANCE,775.27116
2022,Expenditure,LAW,LEGAL FEES,780
2022,Expenditure,PS - EMERGENCY MED SERVICES,OPERATIONAL SUPPLIES,838
2022,Expenditure,INNOVATION & PERFORMANCE,PRINTING & BINDING,850
2022,Expenditure,PS - POLICE BUREAU,UNIFORM,860.4
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,PREMIUM PAY,892.865
2022,Expenditure,PW - BUREAU OF FACILITIES,HEALTH INSURANCE,900.34788
2022,Expenditure,PW - ENVIRONMENTAL SERVICES,INDEMNITY - W/C,964.741
2022,Expenditure,PS - FIRE BUREAU,MEDICAL - W/C,980.168
2022,Expenditure,PERMITS LICENSES AND INSPECTIONS,HEALTH INSURANCE,1010.28828
2022,Expenditure,HUMAN RESOURCES/CIVIL SERVICE,HEALTH INSURANCE,1041.99312
2022,Expenditure,PW - BUREAU OF PW OPERATIONS,PREMIUM PAY,1058.70481
2022,Expenditure,PW - BUREAU OF ADMINISTRATION,REGULAR,1079.99485
2022,Expenditure,PS - FIRE BUREAU,SOCIAL SECURITY,1089.46317
2022,Expenditure,MAYOR'S OFFICE,REGULAR,1110.20127
2022,Expenditure,PW - BUREAU OF FACILITIES,LAND & BUILDINGS,1122.69101
